id,label,latitude,longitude
273,Vieugy Église,45.8626961,6.0842248
274,Chez Blot,45.8575366,6.0844498
275,Mathonex,45.855529,6.0720175
276,Genévrier,45.8425903,6.0604362
277,Châtelard,45.8402054,6.0663809
278,Meclaz,45.8354728,6.0657719
279,Balmont Église,45.8318906,6.0599554
280,Balmont,45.832149,6.0567658
281,Visitation,45.8906938,6.1279252
282,La Basilique,45.8925173,6.1264527
283,Saint-François,45.8938847,6.1276605
284,Clinique Générale,45.8965694,6.1267832
285,Paradis,45.8946009,6.1278516
286,Trésum,45.8960139,6.1305594
287,Préfecture Pâquier,45.9021297,6.1307372
288,Écureuils,45.9073183,6.1520553
289,Pré Vernet,45.9065362,6.155382002721771
290,Petit Port Chavoires,45.9058742,6.1586543
291,Chasseurs,45.9065568,6.1607722
292,Grottes,45.9087933,6.1609159
293,Pont de Thé,45.9117371,6.1598716
294,Barallaz,45.9131724,6.1586712
296,La Cour,45.9206657,6.1421251
297,Nant,45.9233817,6.1403142
298,Petit Brogny,45.9258237,6.1324107
299,Piou,45.9272316,6.129519
300,Le Pressoir,45.92737,6.126792
301,La Varde,45.9276893,6.1342549
302,Petite Jeanne,45.8882215,6.1320676
303,Camping le Belvédère,45.8902506,6.1325926
304,Auberge de Jeunesse,45.891386,6.1336293
305,Tillier,45.8931776,6.1329541
306,Balmettes,45.8942367,6.1230316
307,St-Michel,45.8905363,6.1226243
308,Bouverie,45.8845849,6.1182573
309,Césière,45.8820392,6.1188339
310,Vovray,45.8817585,6.1154167
311,Val Vert,45.8907583,6.1124169
312,Orme,45.8919147,6.1109834
313,Marjolaine,45.8924835,6.1089703
314,Bois Gentil,45.8904531,6.1068364
315,Seynod Bois Gentil,45.8915669,6.1069316
316,Montagny-Avulliens,45.8603902,6.0528078
317,Relais des Lanches,45.8609851,6.0443232
318,Crévion,45.8667451,6.0424991
319,La Chapelle,45.8777756,6.0555514
320,Corbier,45.8801361,6.0559949
321,Chez Chamoux,45.8820682,6.0620651
322,Fléoles,45.8824148,6.0706179
323,Branchy,45.8806784,6.0739536
324,Prés Bouvaux,45.8827511,6.0830511
325,Complexe sportif,45.8854558,6.0886052
326,Combes,45.8874162,6.0908188
327,Pré Rond,45.8873812,6.0954159
329,Lycée les Bressis,45.8934488,6.1010113
330,Guynemer,45.8924772,6.0960194
331,St-Exupéry,45.8924827,6.0927612
332,Levray,45.890908,6.0878101
333,Nanfray,45.8919997,6.0873988
334,L'herbe,45.8956574,6.0789473
335,Eterzy,45.8959668,6.0753749
336,Le Lavoir,45.8956605,6.0697763
337,Maclamod,45.893086,6.0646014
338,Emélie,45.8873636,6.0647712
339,Fruitière,45.8843684,6.0629838
340,La foire,45.8798264,6.042989
341,Les Golières,45.8810732,6.039553
342,La Croix,45.8841158,6.0387934
343,Etang,45.8893771,6.0410036
344,Chavanod,45.8898607,6.0399954
345,Bulloz-Fruitière,45.9218735,6.1760796
346,Pic-Vert,45.9232363,6.1736662
347,Bergeronette,45.9221486,6.1715205
348,Bellevue,45.9220389,6.1677074
349,Grafenberg,45.9378618,6.1239071
350,Z.I. Sud,45.938106,6.124868
351,Prieuré,45.944746,6.1252379
352,Pringy Mairie,45.9466636,6.122477
353,Groupe scolaire,45.9462743,6.1192299
354,Pringy Chapelle,45.9484377,6.116673
355,Pré-Mairy,45.9527412,6.1149975
356,Genon,45.950199,6.10783115408398
357,Les Carts,45.9505794,6.1103393
358,La Planche,45.9521724,6.110949435087475
359,Proméry,45.9541179,6.1118884
360,Pringy Grande Ferme,45.955074,6.1102395
361,Tuilière,45.9518208,6.0893207
362,Terre Grasse,45.9625927,6.1015112
363,Le Martelet,45.966341799999995,6.095052157388446
364,Mairie de Ferrières,45.966853,6.0890679
365,Pringy Ferrières,45.9696731,6.0881618
366,Annecy Gare routière,45.90155505,6.12009522416786
367,Régina,45.8784607,6.1417258
368,Letraz,45.8733858,6.1412464
369,Le Crêt,45.86999445,6.1407782257319825
370,Mairie Sevrier,45.8640346,6.1401404
371,Riant Port,45.8589005,6.1422828
372,LP Roselières,45.8524892,6.1444303
373,Le Brouillet,45.8476612,6.1465879
374,Cessenaz,45.8403524,6.1472289
375,Epagny,45.8359415,6.1499973
376,Les Chataigniers,45.8359415,6.1499973
377,Pont de Monetier,45.8258041,6.151468550000003
378,Chez Gardet,45.8273392,6.1555436
